gene_conversion$external_gene_name,X,baseMean,Both_Mean,complete_remission_or_response_Mean,progressive_disease_Mean,log2FoldChange,FC,lfcSE,stat,pvalue,padj,chrom,strand,left,right,symbol,name,location
1,SLC4A1,ENSG00000004939.12,8.649,8.649,7.483,17.842,-1.272,0.414,0.311288977314295,-4.08514149942994,4.4049964103257e-05,0.0213004166164429,NA,NA,NA,NA,NA,NA,NA:NA-NA
2,PAX6,ENSG00000007372.19,422.047,422.047,455.317,159.577,1.512,2.852,0.367769552902413,4.1110796244102,3.93813351618578e-05,0.0192902054324648,NA,NA,NA,NA,NA,NA,NA:NA-NA
3,PTPRN,ENSG00000054356.12,113.189,113.189,98.779,226.871,-1.199,0.436,0.305854843118676,-3.91951600448065,8.87269694727279e-05,0.0331352715912236,NA,NA,NA,NA,NA,NA,NA:NA-NA
4,FOXC1,ENSG00000054598.6,1892.701,1892.701,2051.243,641.976,1.676,3.195,0.330740925663353,5.06689680425314,4.0435334699059e-07,0.000897117364026121,NA,NA,NA,NA,NA,NA,NA:NA-NA
5,HOXA9,ENSG00000078399.14,176.254,176.254,132.201,523.776,-1.986,0.252,0.527765000782177,-3.76363566329422,0.000167460812540638,0.0488357763961122,NA,NA,NA,NA,NA,NA,NA:NA-NA
6,CRISPLD2,ENSG00000103196.10,2035.795,2035.795,1798.998,3903.865,-1.118,0.461,0.291358301733874,-3.83612609018029,0.000124990254147662,0.0417930562191133,NA,NA,NA,NA,NA,NA,NA:NA-NA
7,MEIS3,ENSG00000105419.16,416.951,416.951,337.929,1040.343,-1.622,0.325,0.278729074205633,-5.81895269714242,5.92174882309586e-09,5.58376500901767e-05,NA,NA,NA,NA,NA,NA,NA:NA-NA
8,PCOLCE,ENSG00000106333.11,5187.355,5187.355,4607.422,9762.378,-1.083,0.472,0.243144515560889,-4.45538234640408,8.37438119826594e-06,0.00902447244728561,NA,NA,NA,NA,NA,NA,NA:NA-NA
9,ALOX12,ENSG00000108839.10,171.805,171.805,148.195,358.061,-1.275,0.413,0.22409309977353,-5.6876553567712,1.28795417625341e-08,7.2512884732272e-05,NA,NA,NA,NA,NA,NA,NA:NA-NA
10,VTN,ENSG00000109072.12,74.237,74.237,59.87,187.578,-1.646,0.32,0.323511021716964,-5.08649810299351,3.64735366895993e-07,0.000859795239576012,NA,NA,NA,NA,NA,NA,NA:NA-NA
11,PDE10A,ENSG00000112541.12,200.158,200.158,162.497,497.261,-1.614,0.327,0.285921486210524,-5.64524214419041,1.64948922824097e-08,7.77672315269558e-05,NA,NA,NA,NA,NA,NA,NA:NA-NA
12,THBS4,ENSG00000113296.13,645.099,645.099,483.944,1916.438,-1.986,0.253,0.308407615740076,-6.43791044527755,1.21129428556927e-10,4.56863865688162e-06,NA,NA,NA,NA,NA,NA,NA:NA-NA
13,PRRX1,ENSG00000116132.10,1699.4,1699.4,1447.649,3685.431,-1.348,0.393,0.355413141133819,-3.79320531044415,0.000148715096344788,0.0463560932961684,NA,NA,NA,NA,NA,NA,NA:NA-NA
14,RGS4,ENSG00000117152.12,582.05,582.05,514.631,1113.908,-1.114,0.462,0.295192121756884,-3.77339902421813,0.000161038414508909,0.0488357763961122,NA,NA,NA,NA,NA,NA,NA:NA-NA
15,FMO6P,ENSG00000117507.4,16.801,16.801,18.541,3.078,2.579,5.976,0.587798374943006,4.38803270685447,1.14380577870309e-05,0.0113528743566695,NA,NA,NA,NA,NA,NA,NA:NA-NA
16,TGFBI,ENSG00000120708.15,9326.872,9326.872,8516.651,15718.617,-0.884,0.542,0.234283212333991,-3.77365271886509,0.000160874663575163,0.0488357763961122,NA,NA,NA,NA,NA,NA,NA:NA-NA
17,CHPF,ENSG00000123989.12,11199.244,11199.244,10635.804,15644.162,-0.557,0.68,0.148602624785937,-3.74596229893363,0.00017970358013025,0.0491150719693668,NA,NA,NA,NA,NA,NA,NA:NA-NA
18,H1-3,ENSG00000124575.6,93.75,93.75,81.824,187.837,-1.194,0.437,0.319001983188134,-3.74185788271652,0.000182664811541828,0.0495652424239073,NA,NA,NA,NA,NA,NA,NA:NA-NA
19,HMGCS2,ENSG00000134240.10,229.976,229.976,253.028,48.114,2.398,5.271,0.571955417474147,4.19263262825393,2.7573577799218e-05,0.0180984003850514,NA,NA,NA,NA,NA,NA,NA:NA-NA
20,NAV1,ENSG00000134369.14,2527.106,2527.106,2330.185,4080.594,-0.808,0.571,0.212518968007567,-3.80316071776555,0.000142861606027708,0.0449025932878923,NA,NA,NA,NA,NA,NA,NA:NA-NA
21,EPHA7,ENSG00000135333.12,131.41,131.41,142.786,41.671,1.778,3.429,0.426021931131107,4.17251139200984,3.01260531734767e-05,0.018543046773658,NA,NA,NA,NA,NA,NA,NA:NA-NA
22,ERBB2,ENSG00000141736.12,14304.268,14304.268,13261.859,22527.718,-0.764,0.589,0.175821237511694,-4.34774017339755,1.37547413124092e-05,0.0123520851923843,NA,NA,NA,NA,NA,NA,NA:NA-NA
23,DPT,ENSG00000143196.4,124.243,124.243,102.718,294.053,-1.517,0.349,0.395633127888807,-3.83463597920947,0.000125750390043306,0.0417930562191133,NA,NA,NA,NA,NA,NA,NA:NA-NA
24,ZNF385B,ENSG00000144331.17,55.845,55.845,60.04,22.753,1.401,2.641,0.35444778515332,3.95245463045205,7.73535985969115e-05,0.0297708742681603,NA,NA,NA,NA,NA,NA,NA:NA-NA
25,PNLDC1,ENSG00000146453.11,72.027,72.027,45.149,284.061,-2.658,0.158,0.463811557724327,-5.73135495193182,9.96315267225345e-09,7.2512884732272e-05,NA,NA,NA,NA,NA,NA,NA:NA-NA
26,EPHA1,ENSG00000146904.7,2711.692,2711.692,2847.649,1639.14,0.797,1.737,0.18821158774864,4.2340741071626,2.29495262239161e-05,0.0164218233559857,NA,NA,NA,NA,NA,NA,NA:NA-NA
27,GPC3,ENSG00000147257.12,2199.334,2199.334,1774.658,5549.555,-1.645,0.32,0.426162976437407,-3.85953683184496,0.000113602134764577,0.0393094652928032,NA,NA,NA,NA,NA,NA,NA:NA-NA
28,RGS20,ENSG00000147509.12,55.177,55.177,58.991,25.091,1.243,2.367,0.324202521701897,3.83352507134756,0.0001263199196378,0.0417930562191133,NA,NA,NA,NA,NA,NA,NA:NA-NA
29,CACNA1C,ENSG00000151067.19,335.054,335.054,301.217,601.991,-0.998,0.501,0.265986093134822,-3.75353928052584,0.000174355195433393,0.0491150719693668,NA,NA,NA,NA,NA,NA,NA:NA-NA
30,CHST9,ENSG00000154080.11,388.81,388.81,425.05,102.91,2.046,4.129,0.494488299286933,4.13727134726866,3.51460393351958e-05,0.018543046773658,NA,NA,NA,NA,NA,NA,NA:NA-NA
31,PGM5,ENSG00000154330.11,654.851,654.851,701.727,285.048,1.3,2.462,0.334277483735045,3.88856271086573,0.000100839616654962,0.0365708444362999,NA,NA,NA,NA,NA,NA,NA:NA-NA
32,PDE1C,ENSG00000154678.15,55.109,55.109,45.773,128.758,-1.494,0.355,0.33054953734863,-4.52066550481949,6.16455279491046e-06,0.00770438811870977,NA,NA,NA,NA,NA,NA,NA:NA-NA
33,AFAP1L1,ENSG00000157510.12,794.996,794.996,845.007,400.461,1.078,2.11,0.26038196656483,4.13827875809088,3.49921071436615e-05,0.018543046773658,NA,NA,NA,NA,NA,NA,NA:NA-NA
34,CD1A,ENSG00000158477.6,74.099,74.099,56.959,209.321,-1.879,0.272,0.498162558105681,-3.7719602401,0.000161970069847373,0.0488357763961122,NA,NA,NA,NA,NA,NA,NA:NA-NA
35,CD1C,ENSG00000158481.11,52.8,52.8,44.062,121.738,-1.468,0.362,0.353472001882258,-4.15196818772536,3.29628090841721e-05,0.018543046773658,NA,NA,NA,NA,NA,NA,NA:NA-NA
36,CD1E,ENSG00000158488.14,54.951,54.951,38.249,186.714,-2.288,0.205,0.417039649157267,-5.48695974506669,4.0891026957807e-08,0.000154228686376761,NA,NA,NA,NA,NA,NA,NA:NA-NA
37,RCAN1,ENSG00000159200.16,1213.802,1213.802,1120.137,1952.713,-0.802,0.574,0.205685772145765,-3.89920345022308,9.65096580302822e-05,0.0353403375915355,NA,NA,NA,NA,NA,NA,NA:NA-NA
38,FCN2,ENSG00000160339.14,8.968,8.968,9.853,1.984,2.296,4.912,0.54504842329731,4.21322978879505,2.51744713949613e-05,0.017263737047341,NA,NA,NA,NA,NA,NA,NA:NA-NA
39,SIGLEC16,ENSG00000161643.11,81.088,81.088,86.732,36.568,1.242,2.365,0.326403717376191,3.80488567106356,0.000141869703722237,0.0449025932878923,NA,NA,NA,NA,NA,NA,NA:NA-NA
40,AQP5,ENSG00000161798.6,4290.456,4290.456,4615.301,1727.791,1.418,2.671,0.310447628761216,4.56628084432583,4.9645354613324e-06,0.00666889661067668,NA,NA,NA,NA,NA,NA,NA:NA-NA
41,KIF26B,ENSG00000162849.14,1263.907,1263.907,1074.332,2759.438,-1.361,0.389,0.301690393120559,-4.51077433004048,6.45914085980342e-06,0.00770438811870977,NA,NA,NA,NA,NA,NA,NA:NA-NA
42,CRYGC,ENSG00000163254.4,75.096,75.096,82.867,13.79,2.583,5.993,0.685667086604707,3.76766363308627,0.000164782527511338,0.0488357763961122,NA,NA,NA,NA,NA,NA,NA:NA-NA
43,SLC9B2,ENSG00000164038.13,299.117,299.117,277.509,469.584,-0.76,0.591,0.187179266329757,-4.0591329906079,4.92552568142698e-05,0.0218560061325155,NA,NA,NA,NA,NA,NA,NA:NA-NA
44,ZPLD1,ENSG00000170044.7,15.71,15.71,11.294,50.548,-2.165,0.223,0.414186732238619,-5.22706461642461,1.72222325510418e-07,0.000433047296751762,NA,NA,NA,NA,NA,NA,NA:NA-NA
45,CST5,ENSG00000170367.4,130.027,130.027,141.608,38.666,1.875,3.669,0.500599292552765,3.74639899212827,0.000179391187698285,0.0491150719693668,NA,NA,NA,NA,NA,NA,NA:NA-NA
46,RPS3AP5,ENSG00000178429.9,280.957,280.957,241.654,591.011,-1.289,0.409,0.24630873801246,-5.23238485998683,1.67336887491373e-07,0.000433047296751762,NA,NA,NA,NA,NA,NA,NA:NA-NA
47,GIPC3,ENSG00000179855.5,162.916,162.916,152.092,248.306,-0.708,0.612,0.179958217959219,-3.93579529245776,8.29216340353974e-05,0.0315914673829604,NA,NA,NA,NA,NA,NA,NA:NA-NA
48,SSTR2,ENSG00000180616.7,102.204,102.204,88.263,212.177,-1.264,0.416,0.222461194490225,-5.68014751482597,1.34578623200653e-08,7.2512884732272e-05,NA,NA,NA,NA,NA,NA,NA:NA-NA
49,BGN,ENSG00000182492.14,24932.245,24932.245,22564.921,43607.806,-0.951,0.517,0.237939642972654,-3.99472648904645,6.47689798044787e-05,0.0259882086306971,NA,NA,NA,NA,NA,NA,NA:NA-NA
50,H1-5,ENSG00000184357.4,104.398,104.398,87.663,236.413,-1.429,0.371,0.369279906714492,-3.87014079420464,0.000108772516474178,0.0379867870727459,NA,NA,NA,NA,NA,NA,NA:NA-NA
51,CYP4Z1,ENSG00000186160.4,98.103,98.103,105.005,43.654,1.269,2.409,0.338134696832017,3.75151249123391,0.000175770994119932,0.0491150719693668,NA,NA,NA,NA,NA,NA,NA:NA-NA
52,CYP4X1,ENSG00000186377.7,1605.638,1605.638,1719.966,703.716,1.29,2.444,0.307720195101439,4.1905236271925,2.78311430477764e-05,0.0180984003850514,NA,NA,NA,NA,NA,NA,NA:NA-NA
53,TMEM221,ENSG00000188051.6,421.89,421.89,450.155,198.91,1.179,2.264,0.31214024642218,3.77605338249831,0.000159332857440661,0.0488357763961122,NA,NA,NA,NA,NA,NA,NA:NA-NA
54,AC079612.1,ENSG00000196758.3,1.904,1.904,1.237,7.164,-2.516,0.175,0.475631736214669,-5.28994984612266,1.22349905275708e-07,0.000384555948106989,NA,NA,NA,NA,NA,NA,NA:NA-NA
56,ZNF460,ENSG00000197714.7,169.344,169.344,157.351,263.961,-0.739,0.599,0.181543997395233,-4.0692267323493,4.71694277092251e-05,0.021779931576491,NA,NA,NA,NA,NA,NA,NA:NA-NA
57,ZNF81,ENSG00000197779.12,246.226,246.226,232.725,352.731,-0.601,0.659,0.145910758892208,-4.11801908938089,3.82143048098222e-05,0.0192177191268275,NA,NA,NA,NA,NA,NA,NA:NA-NA
58,AC064871.1,ENSG00000202141.1,0.551,0.551,0.257,2.87,-3.14,0.113,0.838159683891133,-3.7463293131119,0.000179440998953311,0.0491150719693668,NA,NA,NA,NA,NA,NA,NA:NA-NA
59,AC134312.1,ENSG00000205037.2,14.705,14.705,12.058,35.586,-1.559,0.339,0.365182428630702,-4.26957889084393,1.95842371227328e-05,0.0153887223241274,NA,NA,NA,NA,NA,NA,NA:NA-NA
60,SNORA80B,ENSG00000206633.1,7.771,7.771,5.344,26.914,-2.335,0.198,0.387123809572685,-6.03217359229384,1.61768864136575e-09,2.03381208287973e-05,NA,NA,NA,NA,NA,NA,NA:NA-NA
61,SNORA7B,ENSG00000207088.1,37.817,37.817,30.675,94.161,-1.616,0.326,0.38207155159603,-4.22863470340282,2.35113731533057e-05,0.0164218233559857,NA,NA,NA,NA,NA,NA,NA:NA-NA
62,SNORA37,ENSG00000207233.1,4.812,4.812,3.82,12.638,-1.713,0.305,0.448388070084658,-3.81984266692288,0.000133536825345551,0.043047935397933,NA,NA,NA,NA,NA,NA,NA:NA-NA
63,MT-TM,ENSG00000210112.1,5.747,5.747,4.751,13.605,-1.446,0.367,0.350546742997993,-4.12474279347748,3.71149287358102e-05,0.0191762159880624,NA,NA,NA,NA,NA,NA,NA:NA-NA
66,SNORD89,ENSG00000212283.1,20.922,20.922,17.799,45.559,-1.331,0.397,0.316797598792247,-4.20210311571648,2.64446617975838e-05,0.0178109519467762,NA,NA,NA,NA,NA,NA,NA:NA-NA
67,AL583805.1,ENSG00000212695.5,95.461,95.461,87.233,160.375,-0.88,0.543,0.224477167753515,-3.91912629175115,8.88705412015676e-05,0.0331352715912236,NA,NA,NA,NA,NA,NA,NA:NA-NA
68,EEF1A1P15,ENSG00000213704.3,5.798,5.798,5.05,11.699,-1.243,0.423,0.22788713740172,-5.45262441146921,4.9631825136636e-08,0.000170178504425318,NA,NA,NA,NA,NA,NA,NA:NA-NA
69,AC004692.1,ENSG00000213717.3,5.613,5.613,5.041,10.121,-1.013,0.495,0.249389534837611,-4.06249665750838,4.85506431148886e-05,0.0217998167424316,NA,NA,NA,NA,NA,NA,NA:NA-NA
70,RPL3P6,ENSG00000213891.3,24.874,24.874,23.44,36.186,-0.612,0.654,0.147895571563658,-4.1356325989139,3.53978144524584e-05,0.018543046773658,NA,NA,NA,NA,NA,NA,NA:NA-NA
71,EEF1A1P29,ENSG00000215093.3,42.173,42.173,39.566,62.733,-0.67,0.629,0.174855234815526,-3.82919113108825,0.00012856513018341,0.0421660088271973,NA,NA,NA,NA,NA,NA,NA:NA-NA
72,AC209007.1,ENSG00000215899.3,11.288,11.288,10.415,18.172,-0.814,0.569,0.200371344026695,-4.06322116296707,4.84001311925274e-05,0.0217998167424316,NA,NA,NA,NA,NA,NA,NA:NA-NA
73,RPL18AP8,ENSG00000218754.4,4.592,4.592,3.954,9.618,-1.324,0.399,0.312131637170523,-4.24318308011339,2.20371507142296e-05,0.0162975532056588,NA,NA,NA,NA,NA,NA,NA:NA-NA
74,MIR1296,ENSG00000221063.2,1.798,1.798,1.518,4.001,-1.418,0.374,0.326636956591375,-4.34087274661058,1.41917899533928e-05,0.0124481800388865,NA,NA,NA,NA,NA,NA,NA:NA-NA
75,AL731537.1,ENSG00000223502.1,1.649,1.649,1.203,5.169,-2.205,0.217,0.503391558396815,-4.38065109912336,1.18325206817898e-05,0.0114432610911555,NA,NA,NA,NA,NA,NA,NA:NA-NA
76,EEF1A1P24,ENSG00000223668.1,52.655,52.655,49.37,78.574,-0.674,0.627,0.176307847233841,-3.82002343050407,0.000133438997457262,0.043047935397933,NA,NA,NA,NA,NA,NA,NA:NA-NA
77,EEF1A1P1,ENSG00000223822.2,19.681,19.681,17.485,37.012,-1.096,0.468,0.218979336576014,-5.0037132785644,5.62363827663398e-07,0.00106053382439902,NA,NA,NA,NA,NA,NA,NA:NA-NA
78,AC097638.1,ENSG00000223916.1,47.944,47.944,43.408,83.727,-0.955,0.516,0.240412414442606,-3.97103744742623,7.15603288595107e-05,0.0278251641607646,NA,NA,NA,NA,NA,NA,NA:NA-NA
79,AL590762.3,ENSG00000224208.1,6.505,6.505,5.932,11.026,-0.914,0.531,0.203042754820831,-4.50267524783394,6.7103381303064e-06,0.00770438811870977,NA,NA,NA,NA,NA,NA,NA:NA-NA
80,U82695.1,ENSG00000224963.2,3.097,3.097,2.487,7.908,-1.707,0.306,0.418873563747466,-4.07592795811404,4.58312076298112e-05,0.0216076957271699,NA,NA,NA,NA,NA,NA,NA:NA-NA
81,BX119917.1,ENSG00000225471.4,65.228,65.228,60.746,100.581,-0.736,0.601,0.176934478241292,-4.15828175324332,3.20650380752882e-05,0.018543046773658,NA,NA,NA,NA,NA,NA,NA:NA-NA
82,AC005515.1,ENSG00000226025.8,136.219,136.219,147.164,49.881,1.562,2.952,0.377375577529015,4.1384804135919,3.49613712251017e-05,0.018543046773658,NA,NA,NA,NA,NA,NA,NA:NA-NA
83,H2BP6,ENSG00000226908.1,0.86,0.86,0.644,2.561,-2.046,0.242,0.413730008373567,-4.94600514388061,7.57519579750789e-07,0.00129869845406639,NA,NA,NA,NA,NA,NA,NA:NA-NA
84,AC114755.2,ENSG00000229682.1,1.565,1.565,1.304,3.623,-1.449,0.366,0.363619474038875,-3.98476217331003,6.75477432126769e-05,0.0265385232370056,NA,NA,NA,NA,NA,NA,NA:NA-NA
85,AL138899.2,ENSG00000229914.1,6.776,6.776,6.206,11.274,-0.889,0.54,0.222137737485833,-4.00209301194844,6.27846060985811e-05,0.0254628708410772,NA,NA,NA,NA,NA,NA,NA:NA-NA
86,AC078845.1,ENSG00000232053.5,3.874,3.874,4.239,0.991,2.076,4.217,0.483544199157722,4.29371248886983,1.75709987143163e-05,0.0141860921125863,NA,NA,NA,NA,NA,NA,NA:NA-NA
87,EEF1A1P3,ENSG00000232587.1,38.752,38.752,35.918,61.109,-0.773,0.585,0.155932227599949,-4.96013474831174,7.04442976644951e-07,0.00126521313095798,NA,NA,NA,NA,NA,NA,NA:NA-NA
88,EEF1A1P14,ENSG00000233057.1,55.846,55.846,52.649,81.067,-0.626,0.648,0.166414562857897,-3.76235139111207,0.000168323327186536,0.0488357763961122,NA,NA,NA,NA,NA,NA,NA:NA-NA
89,RPS24P13,ENSG00000233190.1,5.106,5.106,4.439,10.369,-1.225,0.428,0.281585146459499,-4.34898550906695,1.36768748164024e-05,0.0123520851923843,NA,NA,NA,NA,NA,NA,NA:NA-NA
90,CCNQP1,ENSG00000233827.2,1.194,1.194,0.922,3.338,-1.86,0.276,0.479336138951518,-3.88008820720495,0.000104418590175096,0.0374782816544141,NA,NA,NA,NA,NA,NA,NA:NA-NA
91,RPL10P9,ENSG00000233913.7,1728.728,1728.728,1442.094,3989.95,-1.468,0.361,0.344950599618069,-4.25628804884849,2.07848890225013e-05,0.0158753087515458,NA,NA,NA,NA,NA,NA,NA:NA-NA
92,AC022018.1,ENSG00000234017.1,15.366,15.366,13.805,27.683,-1.015,0.495,0.201658144451997,-5.03136538346343,4.86999001032264e-07,0.000984445294310135,NA,NA,NA,NA,NA,NA,NA:NA-NA
93,EEF1GP5,ENSG00000234785.1,42.642,42.642,39.71,65.768,-0.731,0.603,0.175604572987737,-4.16078022817969,3.1716218457433e-05,0.018543046773658,NA,NA,NA,NA,NA,NA,NA:NA-NA
94,AL359313.1,ENSG00000236366.1,5.039,5.039,5.551,1.003,2.435,5.406,0.601182582676612,4.04976676930069,5.12687038211563e-05,0.0224849035118901,NA,NA,NA,NA,NA,NA,NA:NA-NA
95,AC099335.1,ENSG00000236468.1,12.544,12.544,11.495,20.826,-0.873,0.546,0.194472288511749,-4.49103256752458,7.0878711052669e-06,0.00786274219051034,NA,NA,NA,NA,NA,NA,NA:NA-NA
96,EEF1A1P28,ENSG00000237709.1,19.696,19.696,17.653,35.815,-1.033,0.489,0.195926023045402,-5.27117637177314,1.35552132286708e-07,0.000393278444112135,NA,NA,NA,NA,NA,NA,NA:NA-NA
97,EEF1A1P30,ENSG00000237757.2,19.406,19.406,18.248,28.541,-0.652,0.636,0.173430033545595,-3.76028599654185,0.00016971921185929,0.0488648817839453,NA,NA,NA,NA,NA,NA,NA:NA-NA
98,RPL18AP16,ENSG00000237793.3,52.152,52.152,47.596,88.094,-0.893,0.539,0.230154121616871,-3.87797600002888,0.000105329105055224,0.0374782816544141,NA,NA,NA,NA,NA,NA,NA:NA-NA
99,SCARNA12,ENSG00000238795.1,44.222,44.222,39.338,82.754,-1.066,0.478,0.255108458116298,-4.17903977118809,2.92742493540769e-05,0.0184022810481286,NA,NA,NA,NA,NA,NA,NA:NA-NA
100,RPS3AP41,ENSG00000239481.1,1.947,1.947,1.644,4.335,-1.34,0.395,0.297733091416027,-4.50171117259962,6.74085446661777e-06,0.00770438811870977,NA,NA,NA,NA,NA,NA,NA:NA-NA
101,AL132838.1,ENSG00000240096.1,25.112,25.112,23.159,40.514,-0.816,0.568,0.202999128808499,-4.01971323893278,5.82690215232405e-05,0.0239244606814228,NA,NA,NA,NA,NA,NA,NA:NA-NA
102,PCDHGC3,ENSG00000240184.5,792.142,792.142,721.041,1353.047,-0.908,0.533,0.235731722764963,-3.85151181478397,0.000117390865339038,0.0402511933453862,NA,NA,NA,NA,NA,NA,NA:NA-NA
103,EEF1A1P25,ENSG00000241429.1,43.978,43.978,41.477,63.708,-0.622,0.65,0.146898354712993,-4.23215304768688,2.31464808487498e-05,0.0164218233559857,NA,NA,NA,NA,NA,NA,NA:NA-NA
104,EEF1A1P10,ENSG00000243746.1,61.439,61.439,57.21,94.801,-0.732,0.602,0.178005645725773,-4.11333987694603,3.89975570223894e-05,0.0192902054324648,NA,NA,NA,NA,NA,NA,NA:NA-NA
105,AC108751.5,ENSG00000244503.1,3.911,3.911,3.222,9.346,-1.558,0.34,0.254561754964813,-6.11939824654697,9.3929386570669e-10,1.77136733664296e-05,NA,NA,NA,NA,NA,NA,NA:NA-NA
106,LINC02753,ENSG00000248844.5,1.095,1.095,0.616,4.875,-2.996,0.125,0.743258368935543,-4.03131105074138,5.54665784326458e-05,0.0235059880757764,NA,NA,NA,NA,NA,NA,NA:NA-NA
