,JBLAB-19902,JBLAB-19904,JBLAB-19905,JBLAB-19906,JBLAB-19907,JBLAB-19917,JBLAB-19937,JBLAB-19938,JBLAB-19939,JBLAB-19941
ENSG00000223972,3,7,14,33,10,22,9,13,1,18
ENSG00000227232,208,335,244,762,247,587,320,199,96,92
ENSG00000278267,4,7,4,11,2,5,10,1,1,0
ENSG00000243485,0,0,0,2,1,1,6,0,0,1
ENSG00000238009,15,20,7,13,5,16,10,15,2,1
ENSG00000268903,83,34,82,55,92,69,107,58,14,15
ENSG00000269981,35,10,13,18,39,14,31,11,0,4
ENSG00000239906,7,1,0,4,4,4,5,3,0,0
ENSG00000241860,64,24,20,38,41,31,77,23,8,5
ENSG00000279928,4,7,9,17,4,11,0,13,1,10
ENSG00000279457,465,884,516,1849,515,1349,698,458,227,217
ENSG00000273874,2,1,2,9,4,3,7,3,1,1
ENSG00000228463,57,45,23,45,42,52,51,9,18,3
ENSG00000236679,21,9,33,22,20,23,16,7,5,19
ENSG00000236743,4,4,1,0,12,2,3,0,0,0
ENSG00000236601,0,2,2,0,3,1,1,0,1,0
ENSG00000237094,88,36,35,42,84,30,50,39,13,15
ENSG00000250575,107,46,74,56,108,106,119,62,22,19
ENSG00000230021,15,4,4,12,9,1,8,4,5,5
ENSG00000235146,0,0,3,0,0,0,0,0,0,0
ENSG00000225972,8872,22330,32938,30407,23785,5803,19600,11850,12432,9558
ENSG00000225630,20595,37258,43589,66092,46818,5438,35744,30849,24101,21121
ENSG00000276171,1870,3454,2044,1449,3489,1644,4461,1378,4529,4316
ENSG00000237973,59810,104386,268105,201255,102532,54395,166245,153002,238771,131665
ENSG00000278791,12,27,59,12,38,15,21,31,52,50
ENSG00000229344,13277,16584,55774,69655,25171,13630,27026,39147,41946,35442
ENSG00000240409,32,27,36,19,34,3,21,27,24,21
ENSG00000248527,34341,35097,99484,91648,63381,15867,43123,59015,44059,38873
ENSG00000198744,15434,23526,74275,77251,23048,14508,64807,37766,76334,48190
ENSG00000228327,330,179,206,291,375,262,364,225,84,63
ENSG00000237491,57,48,115,46,44,41,53,83,33,35
ENSG00000230092,19,27,41,26,14,30,10,9,11,13
ENSG00000177757,0,2,0,1,0,4,1,1,0,0
ENSG00000228794,646,109,139,202,250,342,46,114,96,103
ENSG00000225880,27,12,20,21,25,26,23,13,15,7
ENSG00000230368,4,6,7,11,4,8,5,6,1,5
ENSG00000234711,6,9,2,16,3,15,8,4,8,13
ENSG00000272438,0,0,3,0,1,3,0,0,0,0
ENSG00000230699,1,2,5,0,2,7,0,0,0,1
ENSG00000223764,5,20,2,0,3,46,0,1,0,7
ENSG00000187634,14,59,17,2,15,213,9,0,3,13
ENSG00000188976,3577,4009,5548,6415,3483,10850,1057,2943,1414,3085
ENSG00000187961,360,105,646,738,355,535,165,140,40,34
ENSG00000187583,347,98,284,17,382,49,59,19,7,9
ENSG00000187642,13,3,5,5,9,57,1,0,0,0
ENSG00000272512,20,10,6,70,79,36,7,60,12,72
ENSG00000188290,362,68,308,478,659,310,54,385,162,451
ENSG00000187608,389,3998,790,1176,812,13292,263,15919,573,970
ENSG00000231702,10,16,19,13,11,19,21,16,30,45
ENSG00000224969,0,2,0,2,0,4,0,4,0,0
ENSG00000188157,22754,27005,17197,10791,16004,16442,8772,7629,5409,8231
ENSG00000217801,81,60,10,132,123,344,111,24,38,82
ENSG00000273443,8,0,3,0,1,5,7,2,0,0
ENSG00000237330,90,61,43,288,209,382,56,36,69,153
ENSG00000131591,797,714,1058,1157,862,1721,308,580,184,462
ENSG00000223823,0,1,0,1,0,0,4,9,1,7
ENSG00000207730,13,1,3,56,9,4,1,1,1,3
ENSG00000207607,17,3,2,117,3,8,1,7,2,2
ENSG00000198976,16,2,10,99,7,15,13,13,4,5
ENSG00000272141,101,53,142,1321,118,203,96,248,35,47
ENSG00000162571,3,48,5,98,3,36,39,94,0,33
ENSG00000186891,4,6,1946,41,15,429,162,70,29,3210
ENSG00000186827,1,15,5,0,7,19,0,4,0,4
ENSG00000078808,4979,6080,7514,4684,4611,11123,2657,3962,2801,5920
ENSG00000176022,600,1234,1621,2400,715,3544,588,1575,873,1956
ENSG00000184163,24,48,34,52,26,162,21,18,2,124
ENSG00000260179,7,7,4,5,13,5,1,3,0,0
ENSG00000160087,1826,3340,4740,3061,1686,5433,666,1882,985,1608
ENSG00000230415,3,17,13,20,3,13,20,5,3,3
ENSG00000162572,20,430,119,92,21,152,205,80,4,18
ENSG00000131584,928,1651,1884,1722,1216,2473,459,708,233,490
ENSG00000169972,537,900,1733,600,607,2306,170,512,166,422
ENSG00000127054,2489,3575,2788,4431,2495,5934,1193,1973,652,1472
ENSG00000240731,29,17,27,79,32,27,12,14,2,0
ENSG00000224051,1748,1659,1961,1090,1642,3170,241,1563,672,1039
ENSG00000169962,11,7,58,22,15,69,3,251,6,37
ENSG00000107404,3221,3697,4375,3073,3684,4603,1099,2554,606,2098
ENSG00000162576,17,11,18,147,22,247,6,177,1,187
ENSG00000175756,2267,3595,5303,4839,2346,9820,1031,2874,1948,4105
ENSG00000223663,0,1,0,0,3,0,0,0,0,0
ENSG00000221978,4276,4674,3352,9523,3701,4502,2384,4123,596,677
ENSG00000224870,560,665,916,864,496,1078,313,742,301,706
ENSG00000242485,2124,2832,3841,3367,1758,7024,767,2498,1569,2033
ENSG00000272455,33,81,71,181,44,357,60,81,42,49
ENSG00000235098,7,1075,99,45,23,290,75,149,33,435
ENSG00000225905,1,20,1,5,1,3,1,3,1,5
ENSG00000205116,0,43,0,1,0,8,22,7,1,15
ENSG00000225285,35,143,182,6,39,21,160,33,1,70
ENSG00000179403,7063,9423,6851,613,5541,6227,1667,855,362,2567
ENSG00000215915,150,515,283,133,168,435,154,206,27,87
ENSG00000160072,1294,1399,1708,2500,1417,3143,483,1762,405,620
ENSG00000197785,1131,1774,3927,1941,1181,4275,428,1794,495,1517
ENSG00000205090,35,21,4,21,38,49,24,105,3,44
ENSG00000160075,3772,5517,9672,3923,3691,8376,1969,5859,2941,5777
ENSG00000215014,5,35,13,23,10,22,21,51,7,8
ENSG00000228594,560,395,3494,1181,375,1527,772,1106,741,2747
ENSG00000272106,127,195,222,363,110,306,164,240,118,130
ENSG00000197530,951,1653,1247,1979,1179,2498,888,1254,505,1152
ENSG00000189409,334,128,29,82,275,353,68,34,8,63
ENSG00000248333,1471,1304,1672,2560,1322,3482,588,1217,644,851
ENSG00000272004,9,10,4,43,13,32,3,9,6,4
ENSG00000189339,1137,2213,2338,2772,1100,2858,1228,2514,1242,1070
ENSG00000269737,0,1,0,3,0,0,0,4,1,2
ENSG00000215914,75,44,4,19,61,110,23,18,1,18
ENSG00000008128,98,58,56,210,88,138,41,48,36,22
ENSG00000268575,28,77,43,189,24,153,52,104,32,57
ENSG00000227775,5,6,6,10,7,21,2,6,0,3
ENSG00000215790,124,150,208,219,89,176,76,148,98,69
ENSG00000008130,2301,2318,4341,10008,2202,5790,709,3701,1084,1928
ENSG00000078369,17064,16853,17702,14388,14371,22837,5699,13141,7737,14506
ENSG00000231050,17,5,25,6,11,4,8,16,12,10
ENSG00000169885,7,13,2,69,26,9,21,24,0,2
ENSG00000178821,58,53,78,476,46,253,44,93,33,130
ENSG00000142609,0,9,2,3,0,102,46,64,7,47
ENSG00000233542,0,0,0,1,0,0,3,0,0,0
