"Gene","segVal","SampleName","gene_name","tpm"
"BRCA1",0.9,"JBLAB19936","BRCA1",157.1
"BRCA2",1,"JBLAB19936","BRCA2",164.3
"RAD51C",0.9,"JBLAB19936","RAD51C",44.1
"RAD51D",0.9,"JBLAB19936","RAD51D",221.8
"RAD51B",2,"JBLAB19936","RAD51B",123.2
"BRIP1",0.9,"JBLAB19936","BRIP1",56.9
"FANCM",2.1,"JBLAB19936","FANCM",94
"PALB2",1,"JBLAB19936","PALB2",107.3
"BARD1",2.9,"JBLAB19936","BARD1",104.6
"CDK12",0.9,"JBLAB19936","CDK12",464.2
"TP53",0.9,"JBLAB19936","TP53",1237.8
"PTEN",3.1,"JBLAB19936","PTEN",711.3
"PTEN",2,"JBLAB19936","PTEN",711.3
"RB1",1,"JBLAB19936","RB1",206
"NF1",0.9,"JBLAB19936","NF1",546.8
"MLH1",2,"JBLAB19936","MLH1",425
"MSH2",2.1,"JBLAB19936","MSH2",681.3
"MSH6",2.1,"JBLAB19936","MSH6",1458.7
"PMS2",1,"JBLAB19936","PMS2",497.2
"PARP2",2.1,"JBLAB19936","PARP2",459
"PPM1D",0.9,"JBLAB19936","PPM1D",39.1
"APLF",2.1,"JBLAB19936","APLF",63
"APTX",0.9,"JBLAB19936","APTX",552
"CHEK1",0.9,"JBLAB19936","CHEK1",360
"CHEK2",0.9,"JBLAB19936","CHEK2",687.4
"FANCD2",2,"JBLAB19936","FANCD2",536
"CCNE1",2.1,"JBLAB19936","CCNE1",808
"MYC",4,"JBLAB19936","MYC",1484
"MECOM",2.8,"JBLAB19936","MECOM",403.7
"ZMYND8",4.2,"JBLAB19936","ZMYND8",837
"PAX8",2.1,"JBLAB19936","PAX8",7899
"TERT",1,"JBLAB19936","TERT",6
"ID4",2.1,"JBLAB19936","ID4",790
"SLPI",4.2,"JBLAB19936","SLPI",380520
"CMTM6",2,"JBLAB19936","CMTM6",1987.9
"BRCA1",1.9,"JBLAB19903","BRCA1",9.9
"BRCA2",3.1,"JBLAB19903","BRCA2",957
"RAD51C",2.7,"JBLAB19903","RAD51C",647.3
"RAD51D",1.9,"JBLAB19903","RAD51D",409.4
"RAD51B",2.1,"JBLAB19903","RAD51B",144.2
"BRIP1",2.7,"JBLAB19903","BRIP1",306.1
"FANCM",2.1,"JBLAB19903","FANCM",153
"PALB2",2,"JBLAB19903","PALB2",369.1
"BARD1",3,"JBLAB19903","BARD1",570.1
"CDK12",1.9,"JBLAB19903","CDK12",992.3
"TP53",2.1,"JBLAB19903","TP53",3949.5
