"CN.gene_name","PDO1","PDO2","PDO3","PDO4","PDO5","PDO6","PDO7","PDO8","PDO9","PDO10","PDO11","PDO12","PDO13","PDO14","PDO15","PDO16","PDO17","PDO18"
"AKT1",2.97669402917331,2.90665657211812,2.0102665310919,2.05141178523836,3.01495472122561,2.99743755304564,2.02103789699052,1.95146428873468,1.98902492928626,3.24038546943049,2.00560055731502,1.99747514621978,2.37200395128685,2.81998129923696,3.1686240924305,1.99693237229029,2.77067936766601,2.07457316670028
"AKT2",9.82962917378434,15.5860571284364,2.04306176379164,2.92377758783964,7.00843544234037,6.91515725796123,2.09974615276771,2.20286074041373,1.87298285224235,2.78135074963422,3.76902972747633,2.00758412971122,3.9983283184948,2.09938262035003,3.05479338842975,2.10112755784259,2.47876396705583,2.97009389728742
"AKT3",4.64487050245794,3.71150769562753,3.75406400332554,5.03769268868792,2.05091367885316,2.02935448683297,2.01797590602771,2.01275963652313,3.58107946101963,5.92846016495104,2.93199813103638,2.91759047417155,3.74550490247105,3.46867275773918,2.07436740883692,1.67312556991205,2.29039176614553,3.87231936155186
"ATM",2.73031544432844,1.99727788371921,2.74416001663379,2.66799761605757,2.77071069306101,2.72832775158353,1.66567212846588,1.62647577681904,2.7334050056465,2.36162731158238,2.36458825600903,1.62530708880983,2.70779534356544,2.01023830098768,2.85564365874785,1.59881250732563,2.79606938653572,2.13057012834914
"ATR",5.02180007804386,3.97725851547844,3.96653964983173,3.11747853234745,3.86145235106855,3.95454039246899,2.03887818763218,2.01746216434064,3.90263839688325,4.88560793479516,4.96411519468491,1.99116998870608,3.96067695321978,3.89380367462664,2.20375316774794,2.79853152145571,4.49773099713678,5.29379076292784
"CCND1",3.71610037385061,1.99360355199467,2.88056688244456,3.99218399168109,2.93969931300121,2.88768770850298,1.26206135975064,2.23746693500023,2.82428717325197,2.86829191755847,2.85671205134374,2.83712772573795,2.91159784132657,2.80677959796731,5.30884194614415,3.00597372206647,2.98378309271471,2.30681460704932
"CCND2",4.87153712211506,3.15747895039056,3.07375434701432,2.05436930770214,2.90083985609724,2.93432614484423,1.02476282920347,0.982028607404137,3.00272996118432,1.9523277418383,2.99275961107325,4.5765660388877,2,2.96487058482826,3.47721615756895,2.05175268893778,4.81626226480302,4.67244577403816
"CCND3",3.88481330188001,1.99785580288797,3,4.04107397131575,2.93979139128579,2.93781471775049,1.968593163202,2.01319079006775,3,3.80241907389967,4.86759912870986,2.15047937162717,2.90476224576314,2.57895782453783,3,1.02798712183617,2.85138760782842,2.1300228437231
"CCNE1",9.60942335963482,14.235570601544,19.0457753320828,4.01414736169909,3.97373591195885,3.86396987925842,2.09974615276771,2.20286074041373,18.121915435511,3.80135255148042,3.76902972747633,2.00758412971122,3.9983283184948,8.38077426856879,3.05479338842975,2.10112755784259,2.47876396705583,2.97009389728742
"CDK12",2.05685884082472,2.02006796250642,2.11100477608302,2.09749278669498,2.02442944844459,2.01225553589286,1.0515988870693,1.04784020477396,1.99792435857569,1.96534194818768,1.95389662065243,0.979337128703928,3.01797246640088,7.32039868499974,1.91856956607683,0.919053756288199,2.01895544331813,2.11432923097489
"CDKN2A",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"CDKN2B",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
