CS1	CS2	CS3	CS4	CS5	CS6	CS7	CS8	CS9	CS10	CS11	CS12	CS13	CS14	CS15	CS16	CS17
IM_100	0.0324686937982805	0.292984395212451	0.369660026727145	0.146398405304263	0.0318895023523229	0.118626964283765	0	0	0	0	0	0	0.00797201232177328	0	0	0	0
IM_101	0.0980732831212036	0.418623897343679	0.128242787562132	0.247511227854709	0	0	0	0	0.00574642163165122	0.0796497251765711	0	0.022152657310054	0	0	0	0	0
IM_102	0.612389042454472	0.156005495221938	0.0248045998425671	0.0110149123341129	0.0381622596078097	0.0585257298582017	0	0.069747025471917	0	0.0052177216999993	0	0	0.00563375713389685	0.0176260548136166	0	0.000873401561468776	0
IM_104	0.611681597340326	0.077924973449494	0.0255709250832337	0.0298833516290128	0.1257777920608	0.0354694133431383	0	0.0564641052964504	0	0	0	0	0.0019269666859254	0.0285498028674492	0.00472572041470269	0.00202535182946794	0
IM_107	0.0309909367389467	0	0.187061282602781	0.471857915614597	0.217078238711693	0	0	0.00280515530799817	0	0	0	0	0.0799525200859318	0	0.0102539509380525	0	0
IM_108	0.218312197035891	0.0291020837498409	0.312154607750265	0.18459033314679	0.0603487065149931	0	0.0668652803352322	0.107772918761899	0.00681891692235332	0.00127704114944223	0	0	0	0.00747050604990639	0	0.00528740858338658	0
IM_11	0.302649997397307	0.322957320142449	0.159837172484863	0.0109176832358781	0.0464876167690249	0	0.0387942145211711	0.0699839272863784	0.026729718804893	0	0	0	0	0.0150010839262787	0	0.00664126543175682	0
IM_110	0.359138840013317	0.279938236524867	0.0125725651565294	0.0694775768009451	0.096261245234551	0	0.118939975270554	0	0	0	0	0	0.0506798986357724	0.0129916623634629	0	0	0
IM_111	0.744519666152423	0	0.0171382163644487	0.0291347421989978	0.0305852237722913	0.0605596613752667	0	0	0	0.00755148118433712	0	0	0.0441278482191772	0.0435673441358851	0.0177048087252211	0.0051110078719515	0
IM_112	0.450734892036532	0.190268797008042	0.170320030211075	0.0483959334854167	0.0452061604377643	0.0735010765252144	0	0	0	0	0	0	0.00625942817994527	0.0153136821160107	0	0	0
IM_113	0.191873271315485	0.0708563469919431	0.221989937466208	0.179287025120977	0.0696953989422103	0	0.0755803243374333	0.151498295248593	0	0	0	0	0.0337410148519847	0.00547838572516577	0	0	0
IM_115	0.270063022787801	0.278172797799066	0.392865723652501	0.00803422480227485	0.0204643674638515	0	0	0	0.00505993265833848	0.0131026836037674	0	0	0	0.0122372472323997	0	0	0
IM_116	0.103967181580039	0.412782328404262	0.283497215904739	0.11857568338104	0.0324471591968655	0.0370222390005658	0	0	0	0	0	0	0.00890949646459089	0.00279869606789743	0	0	0
IM_117	0.125667950813498	0.120399607514674	0.235811511990659	0.288980092620277	0.082362121580208	0	0.014403779944305	0.102472864701219	0	0	0	0	0.0278733589285588	0	0	0.00202871190660187	0
IM_118	0.146588404467807	0.152187732115503	0.200480455141145	0.206703797963347	0.07068543041866	0	0.0195637691329807	0.179160060410397	0	0	0	0	0.022788377835528	0	0	0.00184197251463172	0
IM_119	0.218555700876682	0.138196626892794	0.0974154058869717	0.189434721707229	0.07805064304612	0	0.0585361236266787	0.172115143881959	0	0	0	0	0.0426849899976929	0.00501064408387293	0	0	0
IM_120	0.403693962268858	0.194576758922032	0.128129286205273	0.0428922470850138	0.069411568155008	0.0302837568691204	0	0.112216873711745	0	0	0	0	0.00229315551745223	0.0148940580560331	0	0.00160833320946446	0
IM_121	0.34626619196583	0.235577218472984	0.148141219705976	0.103791055030615	0.0420338504953791	0	0	0.0717659868608884	0.0379525361562267	0	0	0	0	0.0144719413121008	0	0	0
IM_123	0.373419643453147	0.265652743828152	0.102856485164674	0.104824298152491	0.0432561458855257	0	0	0.0776565426176446	0.0238314833947479	0	0	0	0.00214318379092132	0.00207341147665204	0	0.00428606223604424	0
IM_124	0.339411683950184	0.384775658209015	0.215703602982412	0	0.023192106825371	0	0.0193509373272004	0.0105027375032832	0	0	0	0	0	0.00706327320253528	0	0	0
IM_125	0.241955365680697	0.44115651727949	0.0384418784638342	0.0142329305521853	0.0947709927702695	0	0	0.163390966062537	0	0	0	0	0	0.00605134919098733	0	0	0
IM_126	0.272504438031574	0.301458390448823	0.263638683919499	0.0923036479935998	0.0258579525939179	0	0	0	0.00213652532036825	0.0141026422769457	0	0.0118193488398984	0	0.0161783705753735	0	0	0
IM_127	0.6469966676195	0.189943587712729	0.0353551159502466	0	0.0515432185932677	0.0267422325757625	0	0	0	0.0153673758262462	0	0	0	0.0282207437380296	0	0.00331611353235624	0.0025149444518618
IM_128	0.544032526879833	0.185557562940729	0.0627352098491797	0.0203809357369361	0.0749840318989012	0.0371825592705435	0	0.037053811790653	0	0.00659330024498317	0	0	0	0.0255754830394781	0	0.00352785411331981	0.00237672423544389
IM_129	0.773311473765623	0	0.0196279372614754	0.00494081051243265	0.0449717290672842	0.0879828618307857	0	0	0	0.0103968583877919	0	0	0.00668192291502548	0.0418719595369494	0	0.00569399264037379	0.00452045408225837
