sample,s1,s2,s3,s4,s5,s6,s7
54288,0.059650212,0.231206994,0.219490486,0.194644131,0,0.106402729,0.188605448
PDO14,0.065038432,0.215192354,0.186413025,0.18349631,0.026524796,0.109310653,0.21402443
54327,0.755985185,0.011910597,0,0.082785383,0.027966402,0,0.121352434
PDO11,0.702703083,0.098388463,0.053744105,0,0,0.020819676,0.124344673
118976,0.401136704,0.087653229,0.117484032,0.205869561,0.020554054,0.16730242,0
PDO3,0.234763987,0.208950123,0.172221793,0.15510111,0.025225166,0.203737821,0
118947,0.099893966,0.09722784,0.239964081,0.079499641,0.071465968,0,0.411948504
PDO15,0.078055832,0.088809705,0.221215348,0.08653376,0.062562005,0.01868108,0.44414227
119025,0.34833595,0.089159838,0.360158304,0,0.010570255,0,0.191775653
PDO16,0.39513362,0.067290101,0.344791668,0,0,0,0.192784611
151761,0.249398858,0,0.033630215,0.310135097,0,0,0.406835831
PDO12,0.322785693,0.05252049,0.389420332,0,0.018432257,0,0.216841228
