cage,earclip,date,weight,organoid,pdo,dateCulled,mouseNumber,days
130,NM,19/06/2018,21.5,54059,PDO8,NA,466,0
130,NM,25/07/2018,23.3,54059,PDO8,NA,466,36
130,NM,31/07/2018,23.1,54059,PDO8,NA,466,42
130,NM,09/08/2018,23.7,54059,PDO8,NA,466,51
130,NM,15/08/2018,23.2,54059,PDO8,NA,466,57
130,NM,22/08/2018,24.1,54059,PDO8,NA,466,64
130,NM,29/08/2018,25,54059,PDO8,NA,466,71
130,NM,05/09/2018,25.2,54059,PDO8,NA,466,78
130,NM,12/09/2018,26,54059,PDO8,NA,466,85
130,NM,26/09/2018,24.7,54059,PDO8,NA,466,99
130,NM,02/10/2018,25.8,54059,PDO8,NA,466,105
130,NM,16/10/2018,25.8,54059,PDO8,NA,466,119
130,NM,23/10/2018,26,54059,PDO8,NA,466,126
130,NM,01/11/2018,25.8,54059,PDO8,NA,466,135
130,NM,06/11/2018,25.6,54059,PDO8,NA,466,140
130,NM,13/11/2018,25.9,54059,PDO8,NA,466,147
130,NM,20/11/2018,26.1,54059,PDO8,NA,466,154
130,NM,07/12/2018,25.9,54059,PDO8,NA,466,171
130,NM,13/12/2018,25,54059,PDO8,NA,466,177
130,NM,09/01/2019,26.3,54059,PDO8,NA,466,204
130,NM,22/01/2019,26.2,54059,PDO8,NA,466,217
130,NM,05/02/2019,26.2,54059,PDO8,NA,466,231
130,NM,11/04/2019,27.2,54059,PDO8,NA,466,296
130,NM,05/09/2019,28.2,54059,PDO8,NA,466,443
130,NM,02/10/2019,NA,54059,PDO8,02/10/2019,466,470
130,LC,19/06/2018,20.4,54059,PDO8,NA,467,0
130,LC,25/07/2018,23.1,54059,PDO8,NA,467,36
130,LC,31/07/2018,23.4,54059,PDO8,NA,467,42
130,LC,09/08/2018,23.6,54059,PDO8,NA,467,51
130,LC,15/08/2018,24,54059,PDO8,NA,467,57
130,LC,22/08/2018,24.6,54059,PDO8,NA,467,64
130,LC,29/08/2018,24.8,54059,PDO8,NA,467,71
130,LC,05/09/2018,25.5,54059,PDO8,NA,467,78
130,LC,12/09/2018,25.7,54059,PDO8,NA,467,85
130,LC,26/09/2018,25,54059,PDO8,NA,467,99
130,LC,02/10/2018,NA,54059,PDO8,02/10/2018,467,105
130,RC,19/06/2018,21.2,151761,PDO12,NA,468,0
130,RC,25/07/2018,25.3,151761,PDO12,NA,468,36
130,RC,31/07/2018,24.7,151761,PDO12,NA,468,42
130,RC,09/08/2018,25.3,151761,PDO12,NA,468,51
130,RC,15/08/2018,24.4,151761,PDO12,NA,468,57
130,RC,22/08/2018,24.8,151761,PDO12,NA,468,64
130,RC,29/08/2018,25.3,151761,PDO12,NA,468,71
130,RC,05/09/2018,25.7,151761,PDO12,NA,468,78
