chromosome	start	end	segVal	sample
1	840001	2340000	2.19546792754548	IM_100
1	2340001	3840000	1.47559165932775	IM_100
1	3840001	5970000	0.851635958066997	IM_100
1	5970001	17880000	2	IM_100
1	17880001	19320000	1.07053035418101	IM_100
1	19320001	29640000	2	IM_100
1	29640001	31200000	1.26471594407254	IM_100
1	31200001	34050000	2.13569901978153	IM_100
1	34050001	35490000	1.24882018716705	IM_100
1	35490001	36960000	4.92050895827974	IM_100
1	36960001	37890000	3.28309419534036	IM_100
1	37890001	39390000	4.15792971137334	IM_100
1	39390001	43170000	4.91110547774847	IM_100
1	43170001	47280000	3.90885260315811	IM_100
1	47280001	69960000	2.90040529924899	IM_100
1	69960001	89130000	1.79490014931695	IM_100
1	89130001	97140000	2.98265121613857	IM_100
1	97140001	147390000	3.70951562427119	IM_100
1	149040001	149220000	-0.0981163979191821	IM_100
1	149850001	152040000	4.18935446707629	IM_100
1	152040001	153450000	2.78817649586413	IM_100
1	153450001	157110000	4.25239738993286	IM_100
1	157140001	165660000	2.89630681850813	IM_100
1	165660001	171990000	1.8266309753513	IM_100
1	171990001	182070000	2.69306032976202	IM_100
1	182070001	201600000	4.56457514840194	IM_100
1	201600001	208500000	5.30336807618359	IM_100
1	208500001	218460000	4.55307325230997	IM_100
1	218460001	230070000	5.83041033214737	IM_100
1	230070001	249210000	4.40429692122713	IM_100
2	30001	330000	3.00742761768949	IM_100
2	330001	7860000	2	IM_100
2	7860001	12840000	2.82479638839059	IM_100
2	12840001	49560000	4.38835774542455	IM_100
2	49560001	70530000	3.7182204552765	IM_100
2	70530001	115290000	2.38845949776691	IM_100
2	115290001	118260000	1.83037026339802	IM_100
2	118260001	123450000	2.41601141942147	IM_100
2	123450001	127830000	1.8584568624558	IM_100
2	127830001	129540000	3.18009453903632	IM_100
2	129540001	131790000	2.30619055570463	IM_100
2	131790001	145860000	3.15081112439461	IM_100
2	145860001	154560000	4.32476221842314	IM_100
2	154560001	159630000	3.27465645633839	IM_100
2	159630001	162090000	3.95081614487203	IM_100
2	162090001	177330000	3.29153719723894	IM_100
2	177330001	195270000	4.1176211861801	IM_100
2	195270001	217320000	3.1403683862469	IM_100
2	217320001	2.43e+08	3.85601575256697	IM_100
3	90001	3e+06	1.5009147442648	IM_100
3	3000001	56790000	2.35117072397347	IM_100
3	56790001	97770000	3.62491933064535	IM_100
3	97770001	107340000	2.91065725739431	IM_100
3	107340001	108300000	3.78367444264595	IM_100
3	108300001	134280000	2.82072224854659	IM_100
3	134280001	135660000	2	IM_100
3	135660001	150870000	2.88197249724284	IM_100
3	150870001	160530000	3.85821350530133	IM_100
3	160530001	167130000	5.00774064738679	IM_100
3	167130001	171660000	6.0796084869848	IM_100
3	171660001	172710000	6.77406874724707	IM_100
3	172710001	174150000	5.32020753623879	IM_100
3	174150001	176610000	6.5364542278647	IM_100
3	176610001	178770000	7.5251367235269	IM_100
3	178770001	179550000	5.02902725508377	IM_100
3	179550001	182520000	4.14896305126132	IM_100
3	182520001	197820000	5.07405314476697	IM_100
4	90001	45090000	2.49905400728653	IM_100
4	45090001	48450000	1.25764787391527	IM_100
4	48450001	49080000	2	IM_100
4	52710001	58350000	3.00742761768949	IM_100
4	58350001	119310000	1.87158926970608	IM_100
4	119310001	120030000	3.11325575199439	IM_100
4	120030001	126600000	2	IM_100
4	126600001	128370000	2.89220965349142	IM_100
4	128400001	139530000	3.59035788855839	IM_100
4	139530001	142680000	4.1803693868261	IM_100
4	142680001	169110000	2.65079647400987	IM_100
4	169110001	170580000	3.37413227442599	IM_100
4	170580001	173400000	2.44757827333309	IM_100
4	173430001	181770000	1.54629489267658	IM_100
4	181770001	190800000	0.931385123908151	IM_100
5	60001	1680000	2.62871615571678	IM_100
5	1680001	4800000	1.64134412131233	IM_100
5	4800001	11580000	2.56869939841525	IM_100
5	11580001	14100000	2	IM_100
5	14100001	17400000	3.09659868420008	IM_100
5	17400001	31080000	2.30423884338714	IM_100
5	31080001	41340000	3.10076097756242	IM_100
5	41370001	60420000	2.21868914314593	IM_100
5	60420001	60960000	3.47219516923732	IM_100
5	60960001	65790000	1.73913647034442	IM_100
5	65790001	67860000	2.51096460019395	IM_100
5	67860001	72930000	1.84534057282642	IM_100
5	72930001	73890000	2.97440294141484	IM_100
5	73890001	133500000	1.84159602188309	IM_100
5	133500001	173400000	2.63674075733427	IM_100
