"","GeneName","EnsemblId","esti","pval","nbSegOver","plot","regionName"
"1","TNFRSF9","ENSG00000049249",0.19,"0.14",2,"reg_1-7920001-9030000-1110_ENSG00000049249_TNFRSF9.png","1-7920001-9030000-1110"
"2","PARK7","ENSG00000116288",0.24,"0.081",2,"reg_1-7920001-9030000-1110_ENSG00000116288_PARK7.png","1-7920001-9030000-1110"
"3","ERRFI1","ENSG00000116285",-0.08,"0.69",2,"reg_1-7920001-9030000-1110_ENSG00000116285_ERRFI1.png","1-7920001-9030000-1110"
"4","SLC45A1","ENSG00000162426",0.03,"0.42",2,"reg_1-7920001-9030000-1110_ENSG00000162426_SLC45A1.png","1-7920001-9030000-1110"
"5","RERE","ENSG00000142599",0.44,"0.0056",16,"reg_1-7920001-9030000-1110_ENSG00000142599_RERE.png","1-7920001-9030000-1110"
"6","ENO1","ENSG00000074800",0.37,"0.015",1,"reg_1-7920001-9030000-1110_ENSG00000074800_ENO1.png","1-7920001-9030000-1110"
"7","CA6","ENSG00000131686",0.29,"0.048",1,"reg_1-7920001-9030000-1110_ENSG00000131686_CA6.png","1-7920001-9030000-1110"
"8","NBPF16","ENSG00000203827",NA,"NA",0,NA,"1-149040001-149070000-30"
"9","HIST2H3PS2","ENSG00000203818",0.14,"0.24",-2,"reg_1-149100001-149160000-60_ENSG00000203818_HIST2H3PS2.png","1-149100001-149160000-60"
"10","HIST2H3PS2","ENSG00000203818",0.14,"0.24",-1,"reg_1-149190001-149220000-30_ENSG00000203818_HIST2H3PS2.png","1-149190001-149220000-30"
"11","GON4L","ENSG00000116580",0.29,"0.044",4,"reg_1-155730001-155970000-240_ENSG00000116580_GON4L.png","1-155730001-155970000-240"
"12","SYT11","ENSG00000132718",-0.07,"0.66",2,"reg_1-155730001-155970000-240_ENSG00000132718_SYT11.png","1-155730001-155970000-240"
"13","RIT1","ENSG00000143622",0.27,"0.06",2,"reg_1-155730001-155970000-240_ENSG00000143622_RIT1.png","1-155730001-155970000-240"
"14","KIAA0907","ENSG00000132680",NA,"NA",0,NA,"1-155730001-155970000-240"
"15","RXFP4","ENSG00000173080",0.23,"0.11",1,"reg_1-155730001-155970000-240_ENSG00000173080_RXFP4.png","1-155730001-155970000-240"
"16","ARHGEF2","ENSG00000116584",0.32,"0.032",2,"reg_1-155730001-155970000-240_ENSG00000116584_ARHGEF2.png","1-155730001-155970000-240"
"17","RGS18","ENSG00000150681",-0.05,"0.61",2,"reg_1-191520001-192180000-660_ENSG00000150681_RGS18.png","1-191520001-192180000-660"
"18","DNAH14","ENSG00000185842",0.32,"0.032",16,"reg_1-225120001-227670000-2550_ENSG00000185842_DNAH14.png","1-225120001-227670000-2550"
"19","LBR","ENSG00000143815",0.32,"0.032",2,"reg_1-225120001-227670000-2550_ENSG00000143815_LBR.png","1-225120001-227670000-2550"
"20","AC092811.1","ENSG00000203691",NA,"NA",0,NA,"1-225120001-227670000-2550"
"21","ENAH","ENSG00000154380",0.25,"0.07",7,"reg_1-225120001-227670000-2550_ENSG00000154380_ENAH.png","1-225120001-227670000-2550"
"22","SRP9","ENSG00000143742",0.2,"0.12",1,"reg_1-225120001-227670000-2550_ENSG00000143742_SRP9.png","1-225120001-227670000-2550"
"23","EPHX1","ENSG00000143819",0.46,"0.0036",2,"reg_1-225120001-227670000-2550_ENSG00000143819_EPHX1.png","1-225120001-227670000-2550"
"24","TMEM63A","ENSG00000196187",0.18,"0.15",2,"reg_1-225120001-227670000-2550_ENSG00000196187_TMEM63A.png","1-225120001-227670000-2550"
"25","LEFTY1","ENSG00000243709",0.24,"0.09",2,"reg_1-225120001-227670000-2550_ENSG00000243709_LEFTY1.png","1-225120001-227670000-2550"
"26","RP4-559A3.7","ENSG00000255835",NA,"NA",0,NA,"1-225120001-227670000-2550"
"27","PYCR2","ENSG00000143811",0.49,"0.0022",2,"reg_1-225120001-227670000-2550_ENSG00000143811_PYCR2.png","1-225120001-227670000-2550"
"28","LEFTY2","ENSG00000143768",-0.04,"0.59",1,"reg_1-225120001-227670000-2550_ENSG00000143768_LEFTY2.png","1-225120001-227670000-2550"
"29","SDE2","ENSG00000143751",0.14,"0.21",1,"reg_1-225120001-227670000-2550_ENSG00000143751_SDE2.png","1-225120001-227670000-2550"
"30","H3F3A","ENSG00000163041",0.24,"0.081",1,"reg_1-225120001-227670000-2550_ENSG00000163041_H3F3A.png","1-225120001-227670000-2550"
"31","ACBD3","ENSG00000182827",0.15,"0.19",2,"reg_1-225120001-227670000-2550_ENSG00000182827_ACBD3.png","1-225120001-227670000-2550"
"32","MIXL1","ENSG00000185155",0.12,"0.25",1,"reg_1-225120001-227670000-2550_ENSG00000185155_MIXL1.png","1-225120001-227670000-2550"
"33","LIN9","ENSG00000183814",0.25,"0.07",3,"reg_1-225120001-227670000-2550_ENSG00000183814_LIN9.png","1-225120001-227670000-2550"
"34","PARP1","ENSG00000143799",0.35,"0.022",3,"reg_1-225120001-227670000-2550_ENSG00000143799_PARP1.png","1-225120001-227670000-2550"
